"popularity","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence"
36,0.981,0.349,856053,0.268,0.882,-2.50470127711618,-2.58322533945588,-2.83361342407756,82.297,0.395
31,0.887,0.406,152800,0.0133,0.0235,-1.46101790731583,-3.14593411759426,-3.2754461763566,135.556,0.331
38,6.52e-05,0.233,464053,0.859,0.000129,-1.75446368448436,-1.6332870550079,-2.9603651297167,184.082,0.0956
29,0.989,0.278,223320,0.0162,0.895,-2.45806999583444,-3.15543698629477,-2.8877751320489,76.04,0.157
29,0.873,0.349,693355,0.298,0.915,-2.5307411861318,-2.58337518720489,-3.2289261607217,141.457,0.337
44,0.99,0.26,303040,0.0172,0.897,-2.36127408934273,-2.99721964622923,-2.96229749746775,114.588,0.0494
31,0.347,0.665,277427,0.926,0.00229,-2.64648484544406,-1.8603991897666,-2.65356201581814,115.284,0.578
32,0.981,0.399,337893,0.118,0.579,-1.82635091399767,-2.6706000979694,-2.95267278409354,83.913,0.207
28,0.979,0.476,86521,0.293,0.912,-2.16282315061889,-2.66933760167443,-2.95459033022282,108.31,0.204
43,0.000241,0.529,235957,0.851,0.000256,-2.17155683058764,-1.91338653417801,-3.45776773315055,84.015,0.534
14,0.989,0.311,77427,0.0218,0.00215,-2.64226246056421,-2.83994610755367,-3.14191478373207,79.81,0.0369
28,0.969,0.537,124413,0.0313,0.926,-2.12026353620009,-3.13179215993808,-3.08129016191564,75.013,0.715
0,0.914,0.588,16316,0.165,0,-1.45671682541644,-2.9733189665072,-1.43969513784701,104.678,0
40,0.984,0.304,521067,0.0271,0.24,-2.34028696017806,-2.77382061724576,-3.28075122858629,100.212,0.0827
47,0.000109,0.139,433800,0.985,0.000678,-0.95711272639441,-1.60324860796071,-1.77195684193188,200.009,0.296
29,0.985,0.314,625107,0.164,0.894,-2.48410696961744,-2.70205604709365,-3.16533505794017,111.517,0.0392
35,0.0117,0.584,134483,0.479,0.00501,-3.18206185174548,-1.92838276291451,-3.43578882643177,174.103,0.717
0,0.989,0.352,328400,0.0395,0.458,-2.65783248494159,-2.6641817128738,-3.04702556794154,125.531,0.384
30,0.967,0.146,613867,0.0347,0.677,-2.44299724671079,-2.63267444214099,-3.1677075382938,79.046,0.0452
47,0.962,0.111,197847,0.0508,0.034,-2.0874737133771,-2.9744120015801,-3.07045581974993,91.1,0.0796
2,0.971,0.293,167440,0.0805,0,-0.906340401020987,-2.87678653925912,-2.85423271128029,91.163,0.175
35,0.799,0.407,230040,0.282,0,-2.62970123469123,-2.45967299066109,-3.28876195233237,68.184,0.546
31,0.985,0.583,131147,0.0764,0.889,-1.94491064872223,-2.76861204125536,-2.38379514841959,123.132,0.536
0,0.994,0.409,52280,0.29,0.775,-1.99510039324608,-2.73743023667978,-2.8895720777256,81.563,0.219
3,0.937,0.233,594600,0.133,0.599,-0.335472736288129,-2.64092063086046,-3.17485893945143,78.711,0.0782
0,0.973,0.416,401000,0.0735,0.71,-2.5497652221365,-2.74673993845233,-3.19174715747995,112.006,0.222
0,0.989,0.311,350787,0.191,0.933,-2.1119647333854,-2.77473010929279,-3.35813789220171,128.184,0.336
39,0.00154,0.574,139115,0.596,0.649,-2.25379492882461,-1.81964087427677,-3.48024058900261,95.957,0.47
15,0.988,0.226,60849,0.116,0.629,-2.14558134418438,-2.69995427448854,-3.06830296638883,119.96,0.117
48,0.948,0.0704,1150160,0.0657,0.874,-2.22562405185792,-2.69004104358266,-3.2519156789464,61.017,0.0361
31,0.932,0.451,404933,0.211,0.00936,-2.26336437984076,-2.42565079780279,-2.65214256916391,165.625,0.235
0,0.969,0.444,200853,0.138,0.895,-1.93102153656156,-2.66985209615229,-3.38434026459573,106.155,0.639
43,0.939,0.517,74000,0.145,0.664,-2.48410696961744,-2.96090001849644,-3.02413174807569,113.022,0.807
24,0.977,0.544,349747,0.023,0.88,-2.58229899579665,-2.78245836059408,-3.14191478373207,128.063,0.116
33,0.979,0.254,197933,0.0163,0.101,-2.4395509480672,-3.06587618777422,-3.0988730324735,75.129,0.18
41,0.986,0.357,423000,0.0966,0.862,-2.42475272696825,-2.80208178515352,-3.1055471395612,87.456,0.109
34,0.994,0.282,104733,0.018,0.948,-2.4476108650443,-3.10723250595386,-2.7333680090865,79.036,0.542
0,0.963,0.219,228427,0.0492,2.54e-06,-2.31769873080409,-2.97237604946552,-2.90955457731294,75.486,0.101
29,0.0944,0.414,85573,0.582,0.753,-1.19072757757592,-2.24560458780519,-3.30497852392161,130.026,0.0368
35,0.82,0.22,370058,0.0245,0.00295,-2.37408109469912,-2.97165903220978,-2.9603651297167,96.55,0.0547
42,1.84e-05,0.295,387733,0.974,0.728,-1.74296930505862,-1.60026037429264,-2.47218787738023,150.259,0.201
0,0.972,0.304,244280,0.00365,0.000286,-1.98777435315401,-3.33809541575377,-2.96617347131245,34.469,0.16
54,0.994,0.31,244093,0.156,0.879,-2.41463459680267,-2.82143414134303,-3.19174715747995,87.922,0.378
24,0.945,0.326,254227,0.47,0.883,-2.04022082852655,-2.34516888898986,-3.44201937618241,152.632,0.559
35,0.783,0.354,948787,0.0487,0.484,-1.25878104082093,-2.90707744196915,-3.43268804875353,64.12,0.253
0,0.978,0.306,295160,0.124,0.176,-2.06356819252355,-2.64573896922358,-2.81174543744098,93.401,0.457
33,0.000154,0.37,274248,0.91,0.173,-2.31973125182902,-1.50472583608669,-2.69711026106388,145.165,0.242
34,0.986,0.15,289000,0.0348,0.956,-2.24431618487007,-2.96909002568895,-3.28608457456165,83.827,0.0339
23,0.0224,0.352,305960,0.538,0.885,-2.01740615076038,-2.08599907646455,-3.29683736633791,145.04,0.17
33,0.916,0.213,135067,0.00744,0.911,-2.21640739675299,-3.13830381567715,-3.2188758248682,131.107,0.0383
32,0.00225,0.547,232667,0.571,0.895,-2.25379492882461,-2.21368875439357,-3.25969781938846,130.806,0.168
26,0.988,0.233,324914,0.243,0.0967,-2.38923289971972,-2.5157933512579,-3.14888345304817,130.56,0.0752
27,0.793,0.596,214867,0.374,0.00497,-2.1119647333854,-2.54756913031087,-3.41732676359204,106.179,0.728
39,0.993,0.38,225267,0.00921,0.902,-2.46275384514687,-3.20087866496163,-3.16533505794017,63.037,0.149
37,0.99,0.289,211267,0.25,0.882,-2.18925640768704,-2.71933987729193,-3.29144651770304,144.783,0.039
40,0.873,0.259,473893,0.0963,0.559,-2.45224586754845,-2.77641758591668,-3.14423228187243,116.286,0.0499
39,0.992,0.286,487853,0.0603,0.907,-2.24431618487007,-2.68195557869447,-3.23907853218572,182.593,0.0567
38,0.895,0.187,391337,0.204,0.885,-2.45457144999193,-2.55917494571298,-3.28608457456165,142.19,0.0605
0,0.985,0.346,529027,0.195,0.888,-1.86433016206289,-2.51589867847961,-3.40520540305969,107.018,0.118
31,0.851,0.379,196933,0.169,0.648,-1.78976146656538,-2.50388728580412,-2.85249810546808,207.863,0.218
34,0.994,0.396,267787,0.00854,0.928,-2.47693848013882,-3.11054335822512,-2.56655063882851,76.302,0.0774
31,0.948,0.405,101770,0.193,1.6e-05,-1.95899538860397,-2.25691698550857,-3.17725415017738,49.552,0.183
39,0.852,0.487,152120,0.35,0.00633,-1.30195321268614,-2.25842111769924,-3.36101559202932,116.216,0.653
34,0.00373,0.3,590507,0.902,0.862,-2.21640739675299,-1.8288559243918,-2.68384551240539,110.744,0.39
34,0.98,0.263,217547,0.157,0.919,-2.28278246569787,-2.56951577325456,-3.29954372793566,187.286,0.246
30,0.971,0.201,486053,0.0254,0.936,-2.39032400730205,-2.98185341813858,-3.07477548089444,133.774,0.0449
41,0.914,0.175,241213,0.00809,0.856,-2.04794287462046,-3.19533826419965,-3.14888345304817,74.085,0.098
0,0.878,0.451,271120,0.217,0.679,-0.532730459154041,-2.44252895547334,-3.07694232897953,133.453,0.16
50,0.994,0.201,364440,0.0154,0.911,-2.51949809455762,-3.16455014000217,-3.28075122858629,67.91,0.0507
22,0.99,0.207,594600,0.0284,0.898,-2.50225628812311,-2.99216473923018,-3.41124771751566,80.241,0.122
39,0.939,0.326,257143,0.156,0,-2.14558134418438,-2.53891122451787,-3.07694232897953,113.255,0.162
9,0.948,0.407,72373,0.0998,0.952,-1.96611285637283,-2.79501664624629,-2.86998106824843,112.877,0.708
26,0.996,0.478,382359,0.00882,0.955,-2.63526453137656,-3.05445019093232,-2.96811710652102,67.564,0.242
42,0.977,0.358,387427,0.0441,0.871,-2.25379492882461,-2.80021256889591,-3.17725415017738,114.818,0.238
47,0.0043799999999999,0.434,562693,0.884,0.000676,-1.30933331998376,-1.85100991851263,-2.67800607975383,89.967,0.216
26,0.973,0.18,243261,0.0596,0.974,-2.45573627248822,-2.84456747017442,-3.29413830936875,111.971,0.0392
24,0.855,0.317,158000,0.0533,0.313,-2.33510828469961,-2.89551426994952,-3.34955414851032,101.408,0.117
29,0.977,0.258,225267,0.114,2.96e-06,-1.68739945390381,-2.49674242378923,-3.43578882643177,77.903,0.0975
25,0.969,0.229,405000,0.119,0.843,-2.93935194011788,-2.72922079673019,-3.32423634052603,94.818,0.0887
18,0.975,0.377,328667,0.0969,0.000466,-0.385662480811985,-2.87392398296607,-2.61046987276335,117.68,0.159
35,0.982,0.293,251680,0.177,0.628,-2.12026353620009,-2.65390429592726,-2.80676617404137,154.775,0.733
0,0.96,0.399,146693,0.142,5.91e-06,-0.316081546973479,-2.99473149377103,-2.00991547903123,114.982,0.144
0,0.958,0.263,157453,0.222,4.29e-06,-0.338273858567841,-2.68570404617881,-2.03255795578099,146.792,0.0942
33,0.992,0.528,275800,0.232,0.95,-2.42136862898401,-2.83965677264521,-2.49253567695249,105.66,0.789
28,0.861,0.242,215253,0.152,0.832,-1.9241486572738,-2.74634224444024,-3.23907853218572,89.962,0.121
27,0.936,0.0809,335813,0.00728,0.966,-2.59695615359662,-3.18548110011078,-3.2519156789464,70.062,0.0371
30,0.000475,0.374,211173,0.982,0.0586,-1.3704210119636,-1.55334000541546,-2.58097711853873,179.86,0.338
26,0.744,0.315,364800,0.362,1.32e-06,-2.33924907736564,-2.26947700242762,-3.39025744162382,79.623,0.218
0,0.942,0.111,589227,0.155,0.000373,-0.865122445299756,-2.73351013464071,-2.87351464082974,141.565,0.0391
33,0.99,0.393,593467,0.112,0.924,-2.09557092360972,-2.88574054340526,-3.35813789220171,139.968,0.487
40,0.992,0.404,209000,0.24,0.925,-2.34236596300589,-2.73849740904525,-3.44201937618241,81.024,0.389
0,0.909,0.374,217255,0.227,6.9e-05,-0.376877651256252,-2.65518150796675,-2.84903789440319,78.236,0.264
32,0.675,0.462,311640,0.41,0.0164,-2.03255795578099,-2.36928450215677,-3.19662521593338,166.28,0.684
37,0.949,0.149,392320,0.0312,0.639,-2.30258509299405,-2.66605888926579,-3.0597376035299,78.744,0.0376
31,0.955,0.165,313573,0.214,0.916,-1.82635091399767,-2.59213600172941,-3.25969781938846,143.333,0.0466
37,0.874,0.199,198680,0.0852,0.0219,-1.57021719928082,-2.98260301366988,-3.2570970376884,185.57,0.35
0,0.915,0.283,595667,0.083,0.405,-2.21640739675299,-2.7511510333106,-3.44514926919134,97.664,0.169
33,0.992,0.316,254947,0.0036,0.861,-2.02495335639577,-3.32358373361619,-3.36101559202932,68.774,0.0997
35,0.875,0.432,301720,0.154,0.0906,-2.1119647333854,-2.57862154194883,-3.15590102570681,97.359,0.252
41,0.933,0.211,582387,0.00727,0.229,-2.37086393374734,-2.96166025680712,-3.25450300251135,130.569,0.077
28,0.971,0.373,347974,0.171,0.903,-2.2730262907525,-2.56931381095994,-3.41124771751566,108.203,0.286
30,0.992,0.565,210147,0.117,0.254,-1.98050159382493,-2.55162014176974,-3.03863977456527,101.936,0.576
28,0.844,0.281,334480,0.0732,0.613,-2.13707065451647,-2.69601607236527,-3.18206185174548,78.037,0.259
33,0.77,0.178,234893,0.264,0.694,-2.20727491318972,-2.39640665968265,-3.3214624136433,79.282,0.0571
48,0.995,0.376,312573,0.00473,0.917,-2.24431618487007,-3.17079547617936,-2.91323105204225,66.626,0.101
44,0.994,0.393,128067,0.202,0.914,-2.1803674602698,-2.97414823908143,-3.37845789469267,107.578,0.868
32,0.991,0.0936,148000,0.0114,0.95,-2.85076650330381,-3.20986538774217,-2.95267278409354,164.88,0.0544
28,0.937,0.116,288987,0.17,0.74,-2.25379492882461,-2.76233576687213,-3.13269812862715,80.372,0.0386
41,0.711,0.159,178400,0.218,0.806,-2.7015712350045,-2.4923499478921,-3.44201937618241,71.806,0.111
45,0.919,0.0786,185440,0.227,0.924,-1.98050159382493,-2.52199262905092,-3.19418321227783,69.884,0.0559999999999999
33,0.785,0.243,485507,0.155,0.846,-2.32483070194137,-2.72514237675978,-3.37845789469267,99.189,0.105
0,0.983,0.114,102933,0.0288,0.803,-2.34549259400532,-3.3865384679464,-2.92620621090538,93.841,0.197
45,0.981,0.219,248613,0.0323,0.946,-2.06356819252355,-3.1607844017587,-3.14423228187243,70.931,0.0605
24,0.992,0.335,228493,0.0187,0.874,-2.7646205525906,-2.99966662962277,-3.16533505794017,69.889,0.0602
22,0.991,0.332,182707,9e-04,0.962,-2.1982250776698,-3.42017987494819,-3.06187207605854,61.869,0.152
51,0.963,0.162,322827,0.0258,0.826,-2.04794287462046,-2.75554802817152,-3.37260992481024,131.403,0.0355
28,0.91,0.552,120050,0.218,0.643,-2.41911890925,-2.56496392001505,-3.03447310187042,144.07,0.167
32,0.862,0.304,164040,0.371,0.912,-0.486133011175619,-2.48912610527186,-2.87528612047812,71.96,0.0771
32,0.975,0.44,266458,0.236,0.883,-1.67664666212755,-2.36357019717952,-3.51660823317348,102.115,0.233
39,0.989,0.106,427680,0.0547,0.00902,-2.12863178587061,-2.75123911101178,-3.17008566069877,65.758,0.0358
41,0.363,0.115,118000,0.274,0.859,-0.978166135592243,-2.57601210724348,-3.26230538279554,168.459,0.138
2,0.98,0.226,368720,0.255,0.507,-1.13010295575948,-2.50505643276678,-3.01389624418166,92.521,0.119
30,0.985,0.204,830703,0.066,0.885,-2.62279035715139,-2.91980107483283,-3.31869616015041,130.554,0.0325
45,0.995,0.493,266813,0.00885,0.856,-2.43611648561857,-3.24788027457119,-2.53199825732185,73.332,0.201
47,0.878,0.455,246160,0.208,0.626,-2.47574871200323,-2.51552999461172,-3.15825120305177,131.091,0.398
36,0.996,0.437,149773,0.0174,0.926,-2.28278246569787,-3.17334631886659,-2.95075890791126,121.345,0.159
0,0.974,0.0974,298800,0.0109,0.641,-2.50592601701208,-3.05259118685732,-3.05548227795977,79.033,0.0354
37,0.994,0.295,454493,0.148,0.86,-2.42024313646228,-2.8327365140475,-3.3214624136433,68.201,0.163
38,0.889,0.593,121600,0.169,0.000108,-2.26336437984076,-2.51347391762331,-2.72265635349157,81.63,0.411
53,0.875,0.477,377320,0.141,0.774,-1.65025990695436,-2.72828070485495,-2.92434227746732,107.395,0.172
47,0.915,0.0954,203227,0.0987,0.896,-2.25379492882461,-2.96916564817449,-2.97006452680541,106.837,0.0904
31,0.976,0.213,404947,0.11,0.777,-2.18925640768704,-2.80152977630142,-3.32423634052603,134.987,0.0667
27,0.994,0.438,342855,0.00606,0.931,-2.36446049671213,-3.26194421520435,-3.16533505794017,61.869,0.241
0,0.938,0.555,127107,0.0961,0.0119,-1.81400507817537,-2.71536733043839,-2.97201574693668,121.25,0.566
33,0.988,0.357,272225,0.0287,0.868,-2.3156703325427,-2.96640292792111,-3.23653076010692,131.107,0.0376
14,0.979,0.507,173840,0.181,1.74e-06,-1.50507789710986,-2.79343700981416,-1.01335244471729,135.861,0.537
21,0.995,0.338,167160,0.00703,0.945,-2.35072546832198,-3.08017174507535,-3.27280416689376,136.865,0.0769
25,0.979,0.389,175800,0.16,0.161,-1.63475572041839,-2.62515040710366,-3.0878475624618,145.218,0.186
24,0.972,0.492,364000,0.108,0.957,-2.31364604035347,-2.75277955876422,-3.04702556794154,132.877,0.362
0,0.952,0.313,386373,0.175,0.00235,-0.432322562278047,-2.65834558966407,-2.83702058239917,140.001,0.141
37,0.978,0.164,167213,0.0352,0.984,-2.12863178587061,-3.02512236829394,-3.25450300251135,88.044,0.0351
43,0.981,0.308,1322267,0.15,0.873,-1.38230233985035,-2.64897313958782,-3.2570970376884,135.694,0.047
29,0.908,0.21,519960,0.0413,0.388,-2.43269377834107,-2.93129018649736,-2.93746336543002,114.616,0.0445
26,0.000401,0.195,241987,0.757,0.914,-1.02443289049386,-1.83679419728284,-3.04913305028111,98.052,0.18
45,0.985,0.775,183093,0.33,0,-0.785262469467751,-2.1711098826589,-1.6094379124341,109.416,0.74
27,0.889,0.118,816427,0.0338,0.792,-2.37730863918998,-3.05734144757213,-3.07045581974993,89.508,0.035
36,0.984,0.138,219250,0.144,0.936,-2.51825662946955,-2.58027479395862,-3.20152718653359,100.391,0.0329
37,0.187,0.299,233400,0.278,0.838,-2.23492644452023,-2.3230820116865,-3.26754099684948,114.148,0.137
35,0.985,0.218,284960,0.0683,0.893,-1.71479842809193,-2.85077438688064,-2.51949809455762,49.934,0.587
36,0.793,0.0994,973800,0.121,0.827,-1.09362474715707,-2.60918839725985,-3.13960264397369,113.08,0.0378
38,0.985,0.403,90080,0.286,0.763,-1.98050159382493,-2.55218318735591,-3.10109278921182,138.847,0.876
35,0.962,0.214,391787,0.0024,0.221,-2.7333680090865,-3.42615355321864,-3.12356564506388,103.103,0.0536
0,0.576,0.243,456333,0.303,0.847,-0.482886255076749,-2.48729554812302,-3.01389624418166,71.633,0.134
35,0.696,0.0834,281413,0.187,0.925,-1.98050159382493,-2.71604529095054,-3.32423634052603,69.195,0.0338
26,0.849,0.19,581000,0.0226,4.47e-05,-2.7854713480708,-3.27411646037346,-3.2754461763566,79.178,0.0333
52,0.995,0.363,300053,0.00594,0.908,-2.71055333132033,-3.07978522143174,-2.96811710652102,68.986,0.0645
4,0.949,0.303,411307,0.241,0.768,-1.84516024595517,-2.70483814744479,-3.11002141995612,136.273,0.28
52,0.000137,0.373,261040,0.876,0.00211,-0.95711272639441,-1.56960867632193,-3.2289261607217,89.983,0.285
31,0.994,0.437,167160,0.0461,0.891,-2.76780020550798,-2.83124028426218,-3.34387231504289,67.267,0.0753
31,0.982,0.339,812413,0.12,0.911,-1.88387475813586,-2.86931580124152,-3.18689277901515,73.667,0.204
30,0.941,0.207,475600,0.0351,0.89,-2.99573227355399,-3.27998289699589,-3.07261331788995,104.176,0.0956
37,0.918,0.418,320243,0.144,0.675,-2.0874737133771,-2.79253966410198,-3.26754099684948,100.183,0.3
43,0.0314,0.578,299253,0.815,0.0001139999999999,-2.17155683058764,-1.86539383182847,-3.29144651770304,85.196,0.529
0,0.951,0.296,443200,0.255,0.0149,-0.336872316642553,-2.58656780659239,-3.02413174807569,131.694,0.206
17,0.969,0.363,215533,0.223,0,-0.358104536748327,-2.82310808664309,-0.772190387900398,77.512,0.545
29,0.991,0.56,108853,0.00767,0.915,-2.60775247978685,-2.90668296243518,-2.9224818118144,66.384,0.206
33,0.975,0.566,262427,0.168,0.784,-2.07944154167984,-2.77581206112488,-3.26754099684948,139.882,0.568
28,0.981,0.419,706815,0.295,0.816,-2.4937455984552,-2.70661387242291,-3.03655426807425,113.375,0.338
50,0.962,0.0727,398827,0.0185,0.776,-2.25379492882461,-3.17145842725844,-3.10109278921182,78.46,0.0348
28,0.762,0.532,223320,0.227,0.947,-1.80180980508156,-2.60408627662951,-3.42038020107893,179.134,0.253
35,0.992,0.345,353840,0.0236,0.902,-1.98050159382493,-3.03582963476677,-2.98578194270082,96.646,0.0557
34,0.996,0.369,416200,0.00928,0.91,-2.48530672980934,-3.09276843669634,-2.7790092900427,73.294,0.128
25,0.979,0.146,110991,0.0659,0.94,-1.90380897303668,-3.14600147730218,-3.36679595494482,87.286,0.382
46,0.916,0.19,374093,0.328,0.663,-2.49616984206671,-2.43546861215636,-3.18689277901515,75.803,0.219
0,0.943,0.361,200493,0.421,0,-0.135819723142535,-2.52283086592821,-0.941608539858445,90.735,0.212
0,0.991,0.287,291000,0.046,0.783,-2.33304430047876,-2.8070401071834,-3.0988730324735,153.151,0.343
32,0.995,0.47,133253,0.013,0.91,-1.86433016206289,-3.03742019130179,-3.06187207605854,83.657,0.194
